Id,Category
313,21
314,11
315,11
316,2
317,2
318,27
319,28
320,29
321,14
322,14
323,4
324,32
325,4
326,32
327,33
328,33
329,33
330,34
331,33
332,14
333,24
334,32
335,4
336,37
337,39
338,40
339,2
340,11
341,14
342,27
343,28
344,44
345,14
346,30
347,45
348,46
349,25
350,18
351,32
352,4
353,32
354,2
355,32
356,21
357,4
358,1
359,2
360,25
361,21
362,6
363,1
364,2
365,6
366,5
367,2
368,9
369,11
370,11
371,14
372,11
373,44
374,12
375,44
376,15
377,14
378,14
379,19
380,23
381,20
382,21
383,6
384,24
385,2
386,25
387,11
388,2
389,2
390,27
391,28
392,29
393,30
394,14
395,32
396,32
397,34
398,33
399,36
400,4
401,37
402,39
403,40
404,11
405,44
406,12
407,15
408,6
409,45
410,46
411,10
412,44
413,12
414,15
415,6
416,24
417,2
418,14
419,14
420,34
421,32
422,33
423,33
424,33
425,33
426,33
427,32
428,33
429,34
430,32
431,33
432,33
433,33
434,4
435,11
436,11
437,12
438,44
439,12
440,44
441,14
442,15
443,17
444,11
445,12
446,13
447,15
448,4
449,18
450,19
451,20
452,22
453,21
454,4
455,24
456,2
457,4
458,14
459,14
460,14
461,36
462,37
463,39
464,4
465,11
466,11
467,12
468,44
469,43
470,44
471,14
472,15
473,6
474,45
475,46
476,6
477,1
478,2
479,3
480,11
481,11
482,12
483,13
484,15
485,6
486,6
487,19
488,20
489,22
490,21
491,6
492,24
493,2
494,11
495,11
496,27
497,2
498,44
499,28
500,29
501,14
502,30
503,14
504,14
505,34
506,32
507,33
508,33
509,33
510,33
511,33
512,33
513,33
514,34
515,32
516,33
517,33
518,33
519,14
520,14
521,14
522,14
523,36
524,37
525,39
526,4
527,26
528,11
529,12
530,44
531,12
532,44
533,14
534,15
535,6
536,45
537,46
538,14
539,19
540,20
541,22
542,21
543,46
544,45
545,45
546,2
547,3
548,5
549,2
550,11
551,26
552,12
553,29
554,14
555,29
556,30
557,18
558,19
559,20
560,22
561,21
562,24
563,2
564,25
565,11
566,2
567,2
568,27
569,28
570,29
571,30
572,14
573,32
574,32
575,33
576,33
577,33
578,32
579,33
580,33
581,33
582,33
583,33
584,40
585,36
586,22
587,39
588,40
589,10
590,11
591,42
592,10
593,43
594,44
595,15
596,5
597,45
598,6
599,5
600,10
601,11
602,12
603,44
604,14
605,13
606,15
607,6
608,18
609,19
610,20
611,21
612,24
613,2
614,25
615,10
616,11
617,44
618,12
619,44
620,15
621,5
622,2
623,4
624,45
625,2
626,6
627,5
628,14
629,18
630,19
631,20
632,21
633,6
634,46
635,25
636,26
637,26
638,27
639,2
640,27
641,28
642,29
643,14
644,29
645,14
646,30
647,14
648,34
649,33
650,33
651,33
652,33
653,32
654,33
655,32
656,33
657,32
658,33
659,33
660,33
661,33
662,33
663,14
664,14
665,36
666,37
667,39
668,10
669,11
670,42
671,43
672,44
673,15
674,5
675,2
676,36
677,38
678,37
679,38
680,39
681,40
682,6
683,5
684,2
685,6
686,5
687,45
688,2
689,10
690,11
691,44
692,12
693,13
694,15
695,18
696,19
697,20
698,22
699,21
700,24
701,2
702,25
703,11
704,2
705,2
706,27
707,2
708,27
709,28
710,29
711,14
712,30
713,14
714,36
715,4
716,33
717,33
718,32
719,33
720,33
721,33
722,33
723,33
724,6
725,5
726,45
727,4
728,1
729,2
730,3
731,5
732,2
733,11
734,13
735,12
736,13
737,14
738,15
739,46
740,24
741,25
742,2
743,42
744,4
745,2
746,34
747,28
748,29
749,14
750,15
751,14
752,34
753,32
754,33
755,32
756,33
757,33
758,33
759,32
760,33
761,4
762,36
763,22
764,20
765,22
766,21
767,40
768,11
769,11
770,44
771,14
772,15
773,6
774,5
775,2
776,2
777,25
778,4
779,1
780,2
781,3
782,1
783,2
784,11
785,11
786,12
787,13
788,14
789,15
790,2
791,24
792,25
793,26
794,11
795,2
796,2
797,27
798,28
799,29
800,14
801,30
802,4
803,34
804,32
805,33
806,32
807,33
808,33
809,33
810,32
811,33
812,14
813,36
814,18
815,37
816,22
817,39
818,40
819,11
820,11
821,13
822,14
823,15
824,6
825,5
826,6
827,1
828,46
829,5
830,11
831,11
832,13
833,15
834,5
835,2
836,25
837,11
838,2
839,2
840,27
841,28
842,29
843,15
844,36
845,32
846,32
847,33
848,32
849,40
850,14
851,36
852,32
853,34
854,39
855,40
856,11
857,4
858,42
859,14
860,44
861,43
862,29
863,15
864,6
865,5
866,11
867,14
868,13
869,15
870,36
871,32
872,32
873,33
874,39
875,40
876,4
877,1
878,2
879,5
880,11
881,11
882,13
883,15
884,2
885,24
886,25
887,11
888,26
889,2
890,27
891,28
892,29
893,30
894,36
895,32
896,32
897,33
898,32
899,40
900,14
901,36
902,37
903,39
904,39
905,40
906,11
907,26
908,27
909,10
910,28
911,28
912,29
913,30
914,45
915,46
916,4
917,1
918,2
919,5
920,2
921,17
922,11
923,13
924,14
925,15
926,24
927,2
928,3
929,11
930,11
931,27
932,2
933,27
934,27
935,27
936,28
937,29
938,14
939,30
940,32
941,34
942,32
943,33
944,32
945,33
946,32
947,33
948,36
949,37
950,38
951,39
952,17
953,11
954,2
955,27
956,28
957,44
958,14
959,15
960,45
961,46
962,4
963,1
964,2
965,24
966,2
967,25
968,17
969,11
970,11
971,10
972,27
973,28
974,27
975,28
976,29
977,14
978,30
979,17
980,11
981,12
982,44
983,43
984,44
985,14
986,15
987,45
988,46
989,4
990,1
991,2
992,5
993,2
994,17
995,11
996,13
997,14
998,15
999,24
1000,2
1001,25
1002,17
1003,11
1004,2
1005,2
1006,27
1007,27
1008,27
1009,28
1010,29
1011,14
1012,30
1013,32
1014,34
1015,32
1016,32
1017,32
1018,33
1019,32
1020,33
1021,36
1022,37
1023,38
1024,39
1025,17
1026,11
1027,12
1028,42
1029,43
1030,44
1031,14
1032,15
1033,45
1034,46
1035,1
1036,2
1037,5
1038,2
1039,11
1040,13
1041,14
1042,15
1043,18
1044,18
1045,19
1046,23
1047,20
1048,21
1049,6
1050,1
1051,2
1052,25
1053,4
1054,26
1055,2
1056,27
1057,17
1058,27
1059,28
1060,29
1061,14
1062,30
1063,32
1064,32
1065,33
1066,32
1067,33
1068,32
1069,33
1070,32
1071,33
1072,36
1073,37
1074,39
1075,10
1076,11
1077,44
1078,12
1079,44
1080,15
1081,45
1082,46
1083,1
1084,2
1085,5
1086,2
1087,11
1088,13
1089,13
1090,15
1091,6
1092,19
1093,19
1094,22
1095,20
1096,21
1097,6
1098,24
1099,2
1100,25
1101,34
1102,32
1103,33
1104,32
1105,33
1106,32
1107,33
1108,32
1109,33
1110,36
1111,37
1112,39
1113,10
1114,11
1115,12
1116,12
1117,44
1118,15
1119,45
1120,46
1121,1
1122,2
1123,5
1124,2
1125,11
1126,13
1127,14
1128,15
1129,14
1130,18
1131,19
1132,23
1133,20
1134,21
1135,6
1136,24
1137,2
1138,25
1139,11
1140,26
1141,26
1142,27
1143,10
1144,27
1145,28
1146,29
1147,14
1148,30
1149,11
1150,2
1151,4
1152,32
1153,33
1154,32
1155,33
1156,34
1157,35
1158,36
1159,37
1160,39
1161,10
1162,11
1163,44
1164,12
1165,44
1166,15
1167,45
1168,46
1169,1
1170,2
1171,5
1172,46
1173,17
1174,11
1175,13
1176,15
1177,19
1178,22
1179,22
1180,20
1181,21
1182,46
1183,7
1184,25
1185,11
1186,11
1187,2
1188,42
1189,17
1190,43
1191,44
1192,14
1193,30
1194,34
1195,32
1196,34
1197,32
1198,40
1199,36
1200,37
1201,39
1202,17
1203,11
1204,44
1205,14
1206,15
1207,45
1208,46
1209,1
1210,2
1211,5
1212,2
1213,11
1214,11
1215,13
1216,15
1217,19
1218,22
1219,7
1220,20
1221,21
1222,1
1223,2
1224,25
1225,11
1226,11
1227,2
1228,27
1229,10
1230,28
1231,29
1232,14
1233,30
1234,34
1235,32
1236,33
1237,37
1238,40
1239,36
1240,37
1241,39
1242,10
1243,11
1244,44
1245,14
1246,15
1247,45
1248,46
1249,1
1250,2
1251,5
1252,2
1253,11
1254,13
1255,13
1256,15
1257,19
1258,22
1259,22
1260,20
1261,21
1262,5
1263,7
1264,25
1265,11
1266,11
1267,2
1268,27
1269,10
1270,28
1271,29
1272,14
1273,30
1274,36
1275,37
1276,39
1277,17
1278,11
1279,44
1280,14
1281,15
1282,6
1283,46
